subplot,Treat,Treat2,ALLGEY,ANDSEP,AREFEN,ARTSCO,BISBIS,CALPUR,CAMROT,CARRUP,CASOCC,CERARV,DRABA,ERINAN,ERIPIN,FESBRA,GEUROS,HELMOR,HERBWHITE,KOBMYO,LLOSER,LUZSPI,MERLAN,MINOBT,OREALP,PACCAN,PARPUL,PHLOX,POASPP,SAXRHO,SEDLAN,SILENE,TETACA,TETGRA,TONPYG,TRIDAS,TRINAN
23S,S,Tundra,0,0,17.52,0,0.32,0,2.55,26.43,0,0,0,7.01,11.15,0,1.59,0,0,0,3.18,0,0.32,10.83,8.92,0,0,0,1.59,0,1.59,3.18,3.82,0,0,0,0
24C,C,Cushion,0,0,2.42,0,1.21,0,1.82,15.76,0,4.85,0,0,7.27,4.85,1.21,6.06,0,0,16.97,0,0,0,29.7,0,0,0,3.03,0,0,0,0.61,0,0,4.24,0
24N,N,Tundra,0,0,9.28,0,1.03,6.19,10.82,13.92,0,2.58,0,0,9.79,5.15,0.52,0,0,0,11.34,0.52,1.55,5.15,9.28,0,0,0,0,0,0,7.73,0,0,0,5.15,0
24S,S,Tundra,0,0,4,0,0.33,4.67,10.33,13,0,7.33,1,1.67,7,1.67,0.33,0,0,0,6,0,1,6.67,7.33,0,0,0,0,0,11.67,8.33,0.67,0.33,0,6.67,0
25C,C,Cushion,0,0,0,0,0,3.62,2.17,16.67,0,0,0,0,2.17,10.87,0.72,7.25,0,0,1.45,0,1.45,10.87,29.71,0,0,7.25,0,0,0,0,0.72,0,0,5.07,0
25N,N,Tundra,0,0,0,3.21,0.4,4.02,13.65,16.87,0,2.01,0,0,2.81,0,5.22,0,0,0,2.01,0,0.4,8.03,4.82,0,0,0,0,0,0,0,0.8,0,0,35.74,0
25S,S,Tundra,0,0,6.57,0.36,0.36,4.74,1.82,14.23,0,1.82,0,0,1.82,1.82,3.28,0,0,0,1.82,0,0.36,10.22,8.03,0,0,0,0,0,5.47,0,7.3,0,0,29.93,0
26C,C,Cushion,0,0,0,8.24,0,0,1.1,8.24,0,0,0,0,0,5.49,2.75,0,0,0,19.78,0,0,0,20.33,0,0,0,0,0,0,0,0,0,0,34.07,0
26N,N,Tundra,0,0,0,6.23,0.31,0,5.61,13.08,0,6.85,0,0,3.74,0,1.56,0,0,0,6.85,0,0,14.02,3.74,0,4.67,0,0,0,3.74,8.72,0,0,0,20.87,0
26S,S,Tundra,0,0,0,19.72,0.28,4.44,11.39,6.94,0,6.11,0,0,0,0,0,0,0,0,3.33,0,0,14.44,2.22,0,0,0,3.33,0,0,0,0,0,0,27.78,0
27C,C,Cushion,0,0,0,17.02,0,0,3.55,16.31,0,0.71,0,0,0,0.71,0,0,0,0,34.75,0,0,0,15.6,0,0,2.84,0,0,0,0,0,0,0,0,8.51
