"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.AREA_cm2","CWM.LDMC","CWM.SLA","CWM.HEIGHT_cm"
"2",13,13,0.148904879238002,1,0.413724258125886,0.67765822918696,1.32476811220592,2.08262975409518,1.18149510048995,0.241869923428447,206.823508825449,4.09616518348165
"3",14,14,0.158272581270609,1,0.370897131096425,0.702926187782126,1.43221270568921,2.3510282688785,0.992018343668734,0.227055966739168,214.241224192739,3.95387237447489
"5",16,16,0.426903358212126,1,0.517355277911503,0.543613117209461,1.19823244714234,2.20505715095305,1.53838178893847,0.247320879935696,190.96587404184,3.88401328214175
"6",13,13,0.175469101609771,1,0.378695182904735,0.493589860753325,0.984304213042747,1.54202505303694,1.49185486191937,0.252401943606243,178.321184403156,3.95482213522379
"8",13,13,0.0750876439240413,1,0.42568462759265,0.520329908695912,1.03982124946033,1.59728373929272,1.60844153,0.24244107561101,173.055919697291,4.0449444
"9",15,15,0.0965029166645623,1,0.608992432069971,0.62551355964376,1.16754738539977,1.93564344603654,1.62446766,0.26212822457439,172.603336645353,4.3138792
"11",14,14,0.128400302185162,1,0.599652168854221,0.671346253648759,1.23982555278784,2.0581198811063,1.45262729454109,0.255270720665287,192.256129941872,4.33720135972805
"12",15,15,0.0793404778319323,1,0.445070109708468,0.517409986012376,0.900833215330849,1.12329484319084,1.60490345069014,0.273749422721734,161.230600434505,3.98517423484697
"14",14,14,0.0825031259028135,1,0.659233348821019,0.597317884856758,1.24697380987277,2.10597776428836,1.33594404440444,0.240734324949465,185.228665500689,3.99238843884388
"15",17,17,0.387015618718585,1,0.25282805780141,0.68870070837877,1.50405056391261,2.70675619786702,1.07222411,0.22107445303219,224.246835474414,3.1038764
"17",10,10,0.075458524031907,1,0.793509497291165,0.718842437479806,1.281388178327,1.97493994324867,1.32785199807992,0.276759841770419,183.363682488647,4.32185767430697
"18",13,13,0.101392980337186,1,0.579955269786718,0.477035877551584,0.910230771374103,1.36510994815991,1.73337607068607,0.268843912590083,162.898421234093,3.9179683991684
"20",12,12,0.118396752296009,1,0.448270507262475,0.605841257905145,0.795991043454792,1.05496727866627,1.56987455491098,0.261235586053721,161.651035041187,3.69308821764353
"21",14,14,0.1752574466605,1,0.171656296844177,0.721942353298743,1.34257712283482,2.07442248304859,1.2162308331644,0.249001714273333,196.807197045593,4.03630650719643
"23",14,14,0.259681994272414,1,0.518546526124072,0.750501033067302,1.60628502662501,3.16569647156967,1.36518608721744,0.235455257160252,237.711989038268,3.71928465693139
"24",12,12,0.075730273440104,1,0.665330752956346,0.747001133230639,1.35937726371194,2.42420904794423,1.43235406075635,0.270983473191651,180.282875590464,4.95861996280223
"26",14,14,0.247311158777147,1,0.331094039105752,0.427104546305942,0.822772257959971,1.24809305975179,1.57897893210679,0.250281109235586,173.051971469175,3.6275796420358
"27",17,17,0.340260569531744,1,0.478846076125815,0.703771048909551,1.48268894124493,2.66444504841476,1.37737295616411,0.24148860376778,195.721763319723,4.65682054368542
"29",12,12,0.105608167405389,1,0.368319721563192,0.56463040149055,0.961285465693448,1.21539661395771,1.6916331815422,0.277215099242026,168.218060202077,4.24870026310464
