"x"
12
13
14
10
18
14
10
13
15
11
14
15
12
14
17
12
11
14
11
12
15
11
14
14
13
14
18
10
13
13
13
17
17
11
17
16
11
16
14
11
12
16
12
13
13
10
12
15
11
14
15
9
11
14
12
15
14
6
17
13
13
14
15
13
13
16
9
15
15
14
16
20
14
14
17
8
14
11
9
16
16
13
13
14
14
13
14
10
14
15
