"V1","V2","V3","V4"
47.5459999999999,2,2,97
46.478,4,2,97
45.944,3,2,97
45.41,2,2,97
44.876,1,2,97
43.808,1,2,97
43.274,3,2,97
42.74,2,2,97
42.206,2,2,97
41.672,2,2,97
41.138,3,2,97
40.604,4,2,97
40.07,4,2,97
39.536,3,2,97
39.002,3,2,97
38.468,1,2,97
37.4,3,2,97
36.866,3,2,97
36.332,2,2,97
35.798,4,2,97
35.264,4,2,97
34.73,3,2,97
34.196,5,2,97
33.662,4,2,97
33.128,6,2,97
32.594,3,2,97
32.06,6,2,97
31.526,5,2,97
30.992,5,2,97
30.458,4,2,97
29.924,3,2,97
29.39,7,2,97
28.856,8,2,97
28.322,5,2,97
27.788,10,2,97
27.254,5,2,97
26.72,5,2,97
26.186,8,2,97
25.652,3,2,97
25.118,6,2,97
24.584,6,2,97
24.05,8,2,97
23.516,9,2,97
22.982,4,2,97
22.448,6,2,97
21.914,6,2,97
21.38,12,2,97
20.846,9,2,97
20.312,7,2,97
19.778,8,2,97
19.244,4,2,97
18.71,8,2,97
18.176,9,2,97
17.642,10,2,97
17.108,9,2,97
16.574,9,2,97
16.04,9,2,97
15.506,13,2,97
14.972,10,2,97
14.438,12,2,97
13.904,8,2,97
13.37,13,2,97
12.836,12,2,97
12.302,14,2,97
11.768,12,2,97
11.234,7,2,97
10.7,15,2,97
10.166,13,2,97
9.632,12,2,97
9.098,10,2,97
8.564,13,2,97
8.03,16,2,97
7.496,15,2,97
6.962,15,2,97
6.428,13,2,97
5.894,12,2,97
5.36,8,2,97
4.826,16,2,97
4.292,20,2,97
3.758,12,2,97
