"V1","V2","V3","V4"
3.224,17,2,97
2.69,18,2,97
2.156,19,2,97
1.622,18,2,97
1.088,17,2,97
0.554,20,2,97
0.02,20,2,97
211.77,13,1,98
205.72,14,1,98
199.67,2,1,98
199.67,1,2,98
194.154,2,2,98
183.122,1,2,98
177.606,1,2,98
172.09,2,2,98
166.574,1,2,98
150.026,1,2,98
144.51,2,2,98
132.944,1,2,98
127.428,1,2,98
121.912,3,2,98
116.396,2,2,98
104.83,3,2,98
99.3140000000001,2,2,98
93.7980000000001,4,2,98
88.2820000000001,5,2,98
76.7160000000001,6,2,98
71.2000000000001,4,2,98
65.15,10,2,98
59.634,2,2,98
53.584,12,2,98
47.534,5,2,98
42.018,8,2,98
35.968,14,2,98
29.918,15,2,98
23.868,7,2,98
17.818,14,2,98
11.768,12,2,98
11.234,16,2,98
10.7,12,2,98
10.166,12,2,98
9.632,15,2,98
9.098,12,2,98
8.564,10,2,98
8.03,11,2,98
7.496,18,2,98
6.962,14,2,98
6.428,13,2,98
5.894,15,2,98
5.36,16,2,98
4.826,18,2,98
4.292,16,2,98
3.758,17,2,98
3.224,17,2,98
2.69,17,2,98
2.156,16,2,98
1.622,20,2,98
1.088,17,2,98
0.554,19,2,98
0.02,20,2,98
193.62,13,1,99
187.57,15,1,99
181.52,5,1,99
181.52,1,2,99
176.004,2,2,99
170.488,1,2,99
164.972,2,2,99
159.456,2,2,99
153.94,2,2,99
148.424,2,2,99
136.858,1,2,99
131.342,2,2,99
125.826,1,2,99
120.31,1,2,99
114.794,1,2,99
103.228,3,2,99
97.7120000000001,4,2,99
92.1960000000001,4,2,99
