"","RADIUS","X","Y","OPAQUE"
"1",-0.5,0.5,0.5,0.1
"2",0.25,0.5,0.25,0.1
"3",0.25,0.5,0.75,0.1
"4",0.166666666666667,0.833333333333333,0.5,0.1
"5",0.0833333333333333,0.833333333333333,0.25,0.2
"6",0.0454545454545455,0.772727272727273,0.136363636363636,0.3
"7",0.0277777777777778,0.722222222222222,0.0833333333333333,0.4
"8",0.0185185185185185,0.685185185185185,0.0555555555555556,0.5
"9",0.0131578947368421,0.657894736842105,0.0394736842105263,0.6
"10",0.00980392156862745,0.637254901960784,0.0294117647058824,0.7
"11",0.00757575757575758,0.621212121212121,0.0227272727272727,0.8
"12",0.00602409638554217,0.608433734939759,0.0180722891566265,0.9
"13",0.00490196078431373,0.598039215686274,0.0147058823529412,1
"14",0.00170068027210884,0.615646258503401,0.0153061224489796,1
"15",0.00165016501650165,0.612211221122112,0.0247524752475248,1
"16",0.00217391304347826,0.630434782608696,0.0195652173913043,0.9
"17",0.00101214574898785,0.633603238866397,0.0192307692307692,1
"18",0.00209205020920502,0.625523012552301,0.0313807531380753,0.9
"19",0.0028735632183908,0.649425287356322,0.0258620689655172,0.8
"20",0.00121951219512195,0.646341463414634,0.0231707317073171,0.9
"21",0.00134770889487871,0.653638814016173,0.0256064690026954,0.9
"22",0.00273224043715847,0.64207650273224,0.040983606557377,0.8
"23",0.00115207373271889,0.638248847926267,0.0403225806451613,0.9
"24",0.00126582278481013,0.644303797468354,0.0443037974683544,0.9
"25",0.00396825396825397,0.674603174603175,0.0357142857142857,0.7
"26",0.00167224080267559,0.67056856187291,0.0317725752508361,0.8
"27",0.0018796992481203,0.680451127819549,0.0357142857142857,0.8
"28",0.00109170305676856,0.683406113537118,0.0360262008733624,0.9
"29",0.00130548302872063,0.672323759791123,0.0404699738903394,0.8
"30",0.0037037037037037,0.662962962962963,0.0555555555555556,0.7
"31",0.00154798761609907,0.657894736842105,0.0541795665634675,0.8
"32",0.00125628140703518,0.665829145728643,0.0515075376884422,0.8
"33",0.00172413793103448,0.66551724137931,0.0603448275862069,0.8
"34",0.00581395348837209,0.709302325581395,0.0523255813953488,0.6
"35",0.00242718446601942,0.703883495145631,0.0461165048543689,0.7
